ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
725,725,725,0.568109929561615,0.08928142488002777,0.570359468460083,0.09381632506847382
727,727,727,0.8833248019218445,0.0009650072897784412,0.7115494012832642,0.004253844264894724
575,575,575,0.8551934361457825,0.001395022845827043,0.8771975040435791,0.001121218316257
707,707,707,0.8252069354057312,0.026966877281665802,0.8947257995605469,0.011248036287724972
196,196,196,0.7185510993003845,0.1562708616256714,0.7099226117134094,0.16401618719100952
559,559,559,0.8071780800819397,0.006522392388433218,0.2580345869064331,0.006834207568317652
807,807,807,0.867760181427002,0.0015684054233133793,0.8201965689659119,0.0015498539432883263
550,550,550,0.9332486391067505,0.0023241317830979824,0.9348005056381226,0.002272280165925622
496,496,496,0.8894397020339966,0.0010017644381150603,0.8895359039306641,0.0010238202521577477
542,542,542,0.7273672223091125,0.15039709210395813,0.7318189740180969,0.14729523658752441
402,402,402,0.850143551826477,0.006398575380444527,0.8629307150840759,0.006179202813655138
762,762,762,0.7325748205184937,0.05013033375144005,0.1122203916311264,0.06266045570373535
471,471,471,0.7467579245567322,0.058063242584466934,0.542855978012085,0.06312072277069092
566,566,566,0.8686399459838867,0.00211080489680171,0.8738877177238464,0.0020476439967751503
944,944,944,0.8539891242980957,0.04117497429251671,0.8056879043579102,0.06123878434300423
384,384,384,0.7983928322792053,0.03585393354296684,0.7945913076400757,0.033633194863796234
191,191,191,0.9205106496810913,0.006951397284865379,0.9205901622772217,0.007384099066257477
276,276,276,0.8299593329429626,0.020127777010202408,0.8238041400909424,0.014653446152806282
138,138,138,0.8759986758232117,0.0007533791358582675,0.8784636855125427,0.0007508170674555004
75,75,75,0.8956721425056458,0.009577539749443531,0.9017859101295471,0.010007590055465698
736,736,736,0.89869225025177,0.0013174760388210416,0.7867345213890076,0.002087583299726248
92,92,92,0.8554877042770386,0.0007843839703127742,0.8446771502494812,0.0015663454541936517
80,80,80,0.5182546973228455,0.2500608265399933,0.5015903115272522,0.2652924060821533
17,17,17,0.8910077214241028,0.0037462504114955664,0.8702993392944336,0.004442078992724419
670,670,670,0.7677920460700989,0.0933327004313469,0.751520574092865,0.10354014486074448
463,463,463,0.6922910809516907,0.07291699945926666,0.6945624947547913,0.06825697422027588
448,448,448,0.8853832483291626,0.0011752649443224072,0.96986323595047,0.000407450832426548
70,70,70,0.8997471332550049,0.0006465942715294659,0.9228879809379578,0.0004982803366146982
45,45,45,0.8405678868293762,0.0011199295986443758,0.8778116106987,0.0009094295091927052
220,220,206,0.74830162525177,0.021058501675724983,0.047448355704545975,0.030375201255083084
145,145,145,0.8843151330947876,0.0004578482185024768,0.8795168995857239,0.00044604824506677687
607,607,607,0.8825028538703918,0.0007407965022139251,0.8994088172912598,0.0006885419716127217
726,726,726,0.8317837119102478,0.0005696666776202619,0.8338524103164673,0.000593856384512037
440,440,204,0.5992361307144165,0.21682611107826233,0.02420767955482006,0.023230373859405518
310,310,310,0.8577070832252502,0.0014935648068785667,0.8813509941101074,0.0013187858276069164
258,258,258,0.8925453424453735,0.006152512971311808,0.1937015801668167,0.038944125175476074
10,10,10,0.5781030654907227,0.23453402519226074,0.5669764876365662,0.24372825026512146
209,209,209,0.8893070816993713,0.023189108818769455,0.9249996542930603,0.005182256922125816
305,305,305,0.6571012139320374,0.16262419521808624,0.6508501172065735,0.16082808375358582
752,752,752,0.813374936580658,0.0650523379445076,0.8060742020606995,0.07699455320835114
138,138,138,0.8501135110855103,0.0013793078251183033,0.8489338159561157,0.0014780584024265409
746,746,746,0.5141831636428833,0.07684015482664108,0.5064643025398254,0.08114464581012726
313,313,313,0.6781723499298096,0.11773999780416489,0.6962273716926575,0.11556725949048996
954,954,954,0.8480051159858704,0.0017091359477490187,0.819717526435852,0.002501098904758692
433,433,433,0.8375241756439209,0.016312912106513977,0.7857472896575928,0.02636263333261013
579,579,579,0.5694160461425781,0.26248010993003845,0.5519754886627197,0.27361011505126953
217,217,217,0.9264444708824158,0.005804187618196011,0.8738709688186646,0.01304722111672163
124,124,124,0.6141409873962402,0.11709461361169815,0.6477235555648804,0.12260496616363525
162,162,162,0.5775120854377747,0.12534578144550323,0.5963303446769714,0.13334503769874573
64,64,64,0.8029578328132629,0.08956975489854813,0.663954496383667,0.14419697225093842
191,191,191,0.8701151609420776,0.025655098259449005,0.8772984743118286,0.024465983733534813
126,126,126,0.8562001585960388,0.017168093472719193,0.8540775775909424,0.0195845328271389
514,514,514,0.9062976837158203,0.0024964683689177036,0.8745455145835876,0.0032518089283257723
676,676,676,0.8548107147216797,0.0041241636499762535,0.8294690251350403,0.005308955442160368
19,19,19,0.7423829436302185,0.03652337193489075,0.7357699871063232,0.034540191292762756
654,654,654,0.9256061911582947,0.0033494695089757442,0.9152990579605103,0.0032462608069181442
88,88,88,0.907315194606781,0.004848659038543701,0.9069421291351318,0.004789907950907946
403,403,403,0.8409006595611572,0.0039670225232839584,0.8580340147018433,0.0035615211818367243
267,267,267,0.8354564905166626,0.035990338772535324,0.9490849375724792,0.019629444926977158
159,159,159,0.7152329683303833,0.07351952791213989,0.7541734576225281,0.07411054521799088
369,369,369,0.8347686529159546,0.03669325262308121,0.870082676410675,0.035028018057346344
256,256,186,0.7694384455680847,0.037201136350631714,0.03004429303109646,0.019896404817700386
355,355,355,0.883446216583252,0.0019319484708830714,0.8404266834259033,0.002659289399161935
872,872,872,0.4634634554386139,0.17799602448940277,0.48644551634788513,0.15429182350635529
601,601,601,0.9193772077560425,0.0032904164399951696,0.9231616854667664,0.0031836151611059904
1,1,380,0.8830963373184204,0.010564044117927551,0.020407652482390404,0.018885238096117973
523,523,523,0.8786249756813049,0.0010548382997512817,0.8954828977584839,0.0009515802375972271
253,253,253,0.872089147567749,0.01571202650666237,0.8192947506904602,0.0026058992370963097
660,660,660,0.8591499924659729,0.021969163790345192,0.8615099787712097,0.02239963598549366
135,135,135,0.8645392656326294,0.0004100893856957555,0.8792080879211426,0.00038723283796571195
188,188,188,0.9065564274787903,0.01802656799554825,0.9166679382324219,0.017007220536470413
179,179,179,0.7669106125831604,0.10365612804889679,0.7724816799163818,0.10718607902526855
321,321,321,0.8448006510734558,0.002562753390520811,0.8222306370735168,0.0027493799570947886
174,174,174,0.838531494140625,0.015363402664661407,0.8411825299263,0.016129976138472557
612,612,612,0.9106800556182861,0.0027959137223660946,0.8996343612670898,0.0031659924425184727
348,348,348,0.6263337731361389,0.07454332709312439,0.6384829878807068,0.0772828608751297
515,515,515,0.7298682928085327,0.16685906052589417,0.7117315530776978,0.1718968152999878
447,447,447,0.9148405194282532,0.005657908972352743,0.9210901856422424,0.004687816370278597
106,106,106,0.8787094950675964,0.0007452814024873078,0.8452827334403992,0.0009998229797929525
447,447,447,0.808903157711029,0.02005508542060852,0.7881696224212646,0.01796620339155197
197,197,197,0.7587407231330872,0.10405890643596649,0.7542102932929993,0.10734573006629944
563,563,563,0.9125487208366394,0.004414514638483524,0.8129631876945496,0.007789849769324064
931,931,931,0.8821881413459778,0.0009582031052559614,0.8836907744407654,0.000973787042312324
731,731,731,0.8559529185295105,0.0012693594908341765,0.8574783802032471,0.0013180453097447753
670,670,670,0.785795271396637,0.111965611577034,0.6835256218910217,0.1381426751613617
67,67,67,0.2931272089481354,0.25754600763320923,0.38621461391448975,0.2548518478870392
77,77,77,0.8870914578437805,0.009084927849471569,0.8948474526405334,0.008207697421312332
66,66,66,0.7506913542747498,0.12614601850509644,0.7444090843200684,0.12788614630699158
362,362,362,0.8447887897491455,0.002035810612142086,0.8480505347251892,0.0021656088065356016
537,537,537,0.8688195943832397,0.016498103737831116,0.8665561676025391,0.016849882900714874
219,219,219,0.48804426193237305,0.25612372159957886,0.522491991519928,0.3790711462497711
519,519,519,0.4702603816986084,0.30277037620544434,0.5173286199569702,0.18981041014194489
635,635,635,0.9027052521705627,0.007738493382930756,0.9272640943527222,0.006563086062669754
625,625,186,0.8948761820793152,0.0049556526355445385,0.028322340920567513,0.019186602905392647
492,492,492,0.7906197309494019,0.004887177608907223,0.7940670847892761,0.004116870928555727
142,142,142,0.8493920564651489,0.0013118224451318383,0.8657447695732117,0.0011228994699195027
588,588,588,0.8632378578186035,0.014849923551082611,0.8572536706924438,0.014875581488013268
52,52,44,0.5848162770271301,0.1811944991350174,0.08527619391679764,0.01681705377995968
26,26,26,0.5277617573738098,0.27351197600364685,0.5533208250999451,0.27855363488197327
979,979,979,0.8640780448913574,0.0024443399161100388,0.3429564833641052,0.012284894473850727
685,685,685,0.8627688884735107,0.0006229454302228987,0.8624416589736938,0.0006604052032344043
583,583,583,0.6958801746368408,0.044106464833021164,0.7671460509300232,0.028803089633584023
39,39,39,0.9061581492424011,0.004536586347967386,0.9128085374832153,0.0038264619652181864
290,290,290,0.8272494673728943,0.05088857188820839,0.8339404463768005,0.050797611474990845
538,538,538,0.6228525638580322,0.2288079857826233,0.623970091342926,0.2255478799343109
666,666,666,0.8623118996620178,0.009126109071075916,0.870963454246521,0.008881517685949802
109,109,109,0.7080938220024109,0.031231187283992767,0.7343349456787109,0.02877875231206417
697,697,697,0.9346107244491577,0.0033217198215425014,0.5574265718460083,0.011721051298081875
242,242,242,0.9326352477073669,0.0031716625671833754,0.9431265592575073,0.0023416962940245867
419,419,419,0.8633666634559631,0.00147142237983644,0.8616287112236023,0.0015083332546055317
611,611,611,0.8597078323364258,0.002696288051083684,0.8382880687713623,0.003022510092705488
373,373,373,0.7125614285469055,0.04815350100398064,0.7228964567184448,0.049582697451114655
708,708,708,0.7793474793434143,0.08019771426916122,0.7703297734260559,0.08559950441122055
336,336,336,0.8688870072364807,0.006136640440672636,0.8685662150382996,0.004527586977928877
312,312,312,0.8409780263900757,0.04258862882852554,0.8614577651023865,0.037897709757089615
340,340,340,0.8753977417945862,0.000979931908659637,0.8798202872276306,0.0009204864036291838
853,853,853,0.9042845964431763,0.007991459220647812,0.8678503036499023,0.005086476448923349
933,933,933,0.8482465744018555,0.015649108216166496,0.8596122860908508,0.02339865081012249
471,471,471,0.8714521527290344,0.009241428226232529,0.868522584438324,0.00862293504178524
423,423,423,0.6433553695678711,0.23485049605369568,0.6742879152297974,0.20159825682640076
800,800,800,0.8796846866607666,0.0007361987372860312,0.8797143697738647,0.0007321488228626549
493,493,493,0.37404665350914,0.16469772160053253,0.4491906762123108,0.13654138147830963
801,801,801,0.9047751426696777,0.0034894330892711878,0.974299430847168,0.0025369839277118444
12,12,12,0.8679293990135193,0.004056776408106089,0.875374972820282,0.004089864902198315
523,523,523,0.9464695453643799,0.0014609675854444504,0.9445427656173706,0.0016996328486129642
369,369,206,0.35498151183128357,0.17641308903694153,0.029972631484270096,0.027793530374765396
721,721,721,0.916968822479248,0.0006728460430167615,0.8679134845733643,0.0010693706572055817
989,989,989,0.884198784828186,0.0006781216943636537,0.8718963265419006,0.0007368319202214479
298,298,298,0.8196408748626709,0.024350009858608246,0.8359588384628296,0.023501794785261154
685,685,685,0.8559863567352295,0.0005074959481135011,0.019294412806630135,0.017987636849284172
993,993,993,0.880425214767456,0.0012834175722673535,0.9062359929084778,0.0011372881708666682
358,358,358,0.8140731453895569,0.04610176011919975,0.43104320764541626,0.08154075592756271
285,285,285,0.7932573556900024,0.04222935810685158,0.7951015830039978,0.041862402111291885
194,194,194,0.9208251237869263,0.0014289722312241793,0.936955988407135,0.0011078984243795276
154,154,154,0.8678508400917053,0.020786141976714134,0.8667621612548828,0.022507615387439728
101,101,101,0.42031705379486084,0.38220736384391785,0.4357256591320038,0.36351892352104187
869,869,869,0.5579105019569397,0.2911889851093292,0.5586071014404297,0.2860233187675476
188,188,188,0.7299559712409973,0.13205586373806,0.730075478553772,0.133628249168396
543,543,543,0.9110445976257324,0.012865141965448856,0.9200940728187561,0.012562504969537258
809,809,809,0.4694804847240448,0.06162726506590843,0.08282884210348129,0.07741605490446091
560,560,560,0.6877270340919495,0.011312962509691715,0.6560031175613403,0.012196574360132217
322,322,322,0.8797594904899597,0.001031173625960946,0.8788937330245972,0.0009943349286913872
858,858,858,0.8337750434875488,0.018825532868504524,0.8193260431289673,0.02178502455353737
392,392,392,0.8579368591308594,0.0015986914513632655,0.8830351829528809,0.001393099781125784
48,48,48,0.8907001614570618,0.0027715074829757214,0.8973397016525269,0.002690562279894948
333,333,333,0.8582475781440735,0.0026762057095766068,0.7167704701423645,0.004193151369690895
258,258,258,0.9061923623085022,0.003348377300426364,0.9106701612472534,0.0032820627093315125
131,131,131,0.5713163018226624,0.1055617555975914,0.5606958270072937,0.10956758260726929
281,281,281,0.4370226562023163,0.2138621211051941,0.36254769563674927,0.2471904307603836
133,133,133,0.8918217420578003,0.000447886239271611,0.9386131167411804,0.0002529886842239648
683,683,683,0.8088735938072205,0.04817025735974312,0.8053191900253296,0.0498676523566246
910,910,910,0.6747224926948547,0.13357995450496674,0.6502092480659485,0.14727754890918732
332,332,332,0.8783779740333557,0.0054648518562316895,0.8707379102706909,0.005738931242376566
308,308,308,0.7567909955978394,0.057328078895807266,0.7575016617774963,0.061645735055208206
770,770,770,0.8643654584884644,0.002987568499520421,0.9774008393287659,0.0009398240363225341
373,373,373,0.7953311204910278,0.030700549483299255,0.777417004108429,0.03500637784600258
12,12,12,0.580735981464386,0.1168162077665329,0.6131501197814941,0.11600907891988754
608,608,206,0.7778996229171753,0.04562017321586609,0.03767787292599678,0.027358336374163628
585,585,585,0.35556936264038086,0.14448948204517365,0.33674532175064087,0.1435195356607437
777,777,777,0.4690967798233032,0.3700864613056183,0.4996572732925415,0.3623371422290802
866,866,866,0.767076849937439,0.04217434301972389,0.7891429662704468,0.038461461663246155
721,721,380,0.8877161741256714,0.0013735187239944935,0.03521042689681053,0.014854161068797112
685,685,685,0.8442870378494263,0.0013859561877325177,0.8716456890106201,0.001290864427573979
511,511,511,0.862246572971344,0.02485497109591961,0.7990567684173584,0.03219085559248924
200,200,200,0.23147955536842346,0.16211795806884766,0.24790003895759583,0.14152351021766663
524,524,524,0.7154805064201355,0.13884899020195007,0.5647481679916382,0.2301621437072754
203,203,203,0.8802480101585388,0.016511349007487297,0.8776846528053284,0.018593478947877884
84,84,84,0.890398383140564,0.001559129566885531,0.8969669342041016,0.0014928539749234915
700,700,700,0.7436056733131409,0.0412331148982048,0.7281981110572815,0.0427694246172905
319,319,319,0.9017727971076965,0.004886067938059568,0.9045733213424683,0.004765770863741636
994,994,994,0.8574228286743164,0.0018265596590936184,0.8661023378372192,0.002057658741250634
393,393,393,0.8518137335777283,0.022861868143081665,0.8605374693870544,0.020532239228487015
923,923,923,0.7092590928077698,0.024374330416321754,0.6828548908233643,0.021456778049468994
554,554,554,0.8484795093536377,0.00642434461042285,0.8406320810317993,0.006732506211847067
443,443,443,0.6598052382469177,0.13742461800575256,0.5884520411491394,0.16943661868572235
335,335,335,0.8754847049713135,0.001960898982360959,0.8688762784004211,0.002062738873064518
750,750,750,0.8671269416809082,0.0014329792466014624,0.8697896599769592,0.001380660803988576
330,330,330,0.5978479981422424,0.25437232851982117,0.4481210708618164,0.3412681221961975
181,181,181,0.851208508014679,0.028313742950558662,0.8555828928947449,0.02895749732851982
150,150,150,0.871864914894104,0.001084783230908215,0.8406435251235962,0.0013773698592558503
963,963,963,0.8183796405792236,0.017530648037791252,0.7558367252349854,0.01737666130065918
515,515,515,0.6104682683944702,0.07719864696264267,0.6142885684967041,0.09333321452140808
615,615,615,0.9019066095352173,0.0008475783979520202,0.9099645018577576,0.0008245580829679966
876,876,876,0.4430831968784332,0.13360050320625305,0.42581549286842346,0.15218277275562286
840,840,840,0.8154914975166321,0.0073417723178863525,0.8125602602958679,0.008013821206986904
348,348,348,0.4604056179523468,0.3953448534011841,0.4601820111274719,0.4040073752403259
565,565,565,0.7928462028503418,0.0014775105519220233,0.9572387933731079,0.00046267567086033523
511,511,511,0.8859344720840454,0.032815251499414444,0.886788547039032,0.028214052319526672
466,466,466,0.9162263870239258,0.0007634451030753553,0.9472923278808594,0.0005150657962076366
754,754,186,0.6414102911949158,0.12325340509414673,0.030297668650746346,0.018940584734082222
654,654,654,0.9095611572265625,0.00834148470312357,0.9210386276245117,0.008145230822265148
82,82,82,0.7253237962722778,0.0413784384727478,0.7523893117904663,0.03869010880589485
822,822,822,0.8139466047286987,0.011279000900685787,0.8488292098045349,0.009017274715006351
515,515,515,0.6652822494506836,0.2212136834859848,0.22252558171749115,0.09603927284479141
606,606,606,0.8992165923118591,0.0004673012881539762,0.9173742532730103,0.000411329761845991
27,27,27,0.8755164742469788,0.012767855077981949,0.8072346448898315,0.014967832714319229
323,323,323,0.8687337040901184,0.0016614909982308745,0.8692671656608582,0.0015898202545940876
544,544,544,0.8720899820327759,0.007452785037457943,0.14857660233974457,0.03352510184049606
572,572,572,0.6215147972106934,0.2155391275882721,0.5996371507644653,0.23937667906284332
665,665,665,0.374939888715744,0.2512950897216797,0.4031909108161926,0.22759246826171875
139,139,139,0.8570473194122314,0.0015658524353057146,0.8358655571937561,0.0014686029171571136
696,696,696,0.8912761211395264,0.004569804761558771,0.8943008184432983,0.004257652442902327
249,249,249,0.8267565965652466,0.05966600403189659,0.8194166421890259,0.06698913127183914
172,172,172,0.8363441824913025,0.004554677754640579,0.4304461181163788,0.014107465744018555
869,869,869,0.8944066762924194,0.003090914338827133,0.8746749758720398,0.0036830687895417213
257,257,257,0.9305047392845154,0.009189117699861526,0.919883668422699,0.009824305772781372
233,233,233,0.5169752836227417,0.11440157145261765,0.5214396715164185,0.11350569128990173
196,196,196,0.7139554619789124,0.18221208453178406,0.6955187916755676,0.17422735691070557
991,991,991,0.8971962332725525,0.001097759697586298,0.889072060585022,0.001071449718438089
199,199,199,0.6151447892189026,0.11845951527357101,0.4551851451396942,0.06441205739974976
378,378,378,0.8536379337310791,0.02381822280585766,0.853513777256012,0.023609358817338943
626,626,626,0.9545415043830872,0.004091963637620211,0.9342957735061646,0.005853588692843914
288,288,288,0.8313930630683899,0.04277640953660011,0.42158034443855286,0.025942904874682426
230,230,230,0.727968692779541,0.15239201486110687,0.7106938362121582,0.19802334904670715
51,51,51,0.8752061724662781,0.0004773522960022092,0.8897269368171692,0.00046855543041601777
352,352,352,0.8319769501686096,0.03939012438058853,0.8241124153137207,0.03929794579744339
93,93,93,0.8595693707466125,0.0060241748578846455,0.8596614003181458,0.0062657808884978294
613,613,613,0.8972917199134827,0.002307680668309331,0.9105041027069092,0.0021387136075645685
990,990,990,0.8872843384742737,0.0011481484398245811,0.9774990081787109,0.0004461464413907379
65,65,65,0.5643349885940552,0.20050619542598724,0.5652413368225098,0.20458103716373444
