ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
833,833,833,0.9032424688339233,0.0007576175266876817,0.9039767980575562,0.0007228900212794542
540,540,540,0.8396023511886597,0.0007225912995636463,0.8714734315872192,0.0006368746398948133
945,945,945,0.8511365056037903,0.002973198425024748,0.8709756135940552,0.0012759283417835832
156,156,156,0.908725917339325,0.0063577196560800076,0.8763502836227417,0.008039445616304874
652,652,652,0.9087077379226685,0.011991945095360279,0.8610162138938904,0.013760626316070557
432,432,432,0.8744564056396484,0.007282353471964598,0.884219765663147,0.006488125305622816
948,948,948,0.9069679975509644,0.0016099880449473858,0.9114488363265991,0.0028504962101578712
351,351,351,0.8978278636932373,0.012291541323065758,0.8778014779090881,0.01552706491202116
839,839,839,0.9492686986923218,0.007200432475656271,0.8969420194625854,0.0054700844921171665
986,986,986,0.8837119936943054,0.00025221973191946745,0.8598076701164246,0.001250081928446889
885,885,885,0.8868088722229004,0.006880299188196659,0.8418640494346619,0.012769055552780628
861,861,861,0.9168186187744141,0.0017361586214974523,0.9338841438293457,0.0018706594128161669
860,860,860,0.6229023337364197,0.04467756673693657,0.43085813522338867,0.06068935617804527
309,309,309,0.9377065896987915,0.00345260975882411,0.8900684118270874,0.00969245657324791
79,79,79,0.905784010887146,0.0015693811001256108,0.8945732116699219,0.0019238527165725827
454,454,454,0.7336643934249878,0.09142681956291199,0.7870818376541138,0.029885470867156982
483,483,483,0.8959797620773315,0.00829298421740532,0.9161912798881531,0.00636223005130887
336,336,336,0.8543733358383179,0.024360716342926025,0.8259285688400269,0.020980218425393105
636,636,636,0.7951136231422424,0.05865655466914177,0.6726042032241821,0.08014746010303497
5,5,5,0.8924834132194519,0.005855432711541653,0.9096759557723999,0.007769784890115261
357,357,357,0.9448175430297852,0.004157325718551874,0.9128298759460449,0.008957386016845703
147,147,147,0.8760830163955688,0.0070338468067348,0.8738729357719421,0.008604575879871845
163,163,163,0.8830727338790894,0.010938884690403938,0.8325628638267517,0.01808946765959263
798,798,798,0.9092565178871155,0.003681895090267062,0.8566806316375732,0.005846769083291292
