ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
495,495,495,0.35534077882766724,0.17171159386634827,0.35768356919288635,0.21913541853427887
741,741,741,0.9046946167945862,0.018020231276750565,0.94713294506073,0.017378881573677063
1,1,1,0.916266143321991,0.003640871262177825,0.9102281332015991,0.002970230532810092
207,207,207,0.852486789226532,0.0031710308976471424,0.8515992760658264,0.004100840538740158
88,88,88,0.8954119086265564,0.00221134047023952,0.9121735692024231,0.002332489937543869
169,169,169,0.9193851351737976,0.0012355271028354764,0.9487391114234924,0.0020718236919492483
477,477,477,0.6642894744873047,0.032858677208423615,0.8084449172019958,0.017626244574785233
318,318,318,0.9162151217460632,0.00032106428989209235,0.9033763408660889,0.0004190322069916874
750,750,750,0.7690675854682922,0.05118384584784508,0.7146058082580566,0.056649211794137955
143,143,143,0.8263311982154846,0.014931321144104004,0.6345311999320984,0.17698068916797638
58,58,58,0.646248459815979,0.061440423130989075,0.5791116952896118,0.05240854248404503
725,725,883,0.3718505799770355,0.289421945810318,0.2687734365463257,0.26820605993270874
31,31,31,0.7322031259536743,0.13899292051792145,0.6881337761878967,0.14948762953281403
123,123,123,0.27472442388534546,0.11388792097568512,0.3419680595397949,0.08059751242399216
75,75,75,0.6044313907623291,0.2105463147163391,0.7067784667015076,0.12327492982149124
754,754,754,0.5226961374282837,0.1314796805381775,0.4726937711238861,0.16439098119735718
19,19,19,0.8757635354995728,0.0005739394691772759,0.8906814455986023,0.0007899836055003107
514,514,514,0.8898347020149231,0.004182085860520601,0.911109209060669,0.003978669177740812
815,815,815,0.8841012120246887,0.0024760907981544733,0.866259753704071,0.00397455645725131
306,306,306,0.8556147813796997,0.01557612232863903,0.8382097482681274,0.023529626429080963
221,221,221,0.9061349630355835,0.010774445720016956,0.8982451558113098,0.01462965365499258
95,95,95,0.8803209066390991,0.002709310967475176,0.8403145670890808,0.004511344712227583
954,954,954,0.7900374531745911,0.08605912327766418,0.7633194923400879,0.0723671168088913
325,325,325,0.893418550491333,0.0025482308119535446,0.8978800773620605,0.0027737885247915983
202,202,202,0.9194051027297974,0.031608060002326965,0.6663932800292969,0.08788589388132095
296,296,296,0.8671385049819946,0.0022383916657418013,0.7066172361373901,0.006937963888049126
939,939,939,0.9421619772911072,0.008106756955385208,0.9543029069900513,0.018354950472712517
469,469,469,0.8398904204368591,0.05147462338209152,0.8382865786552429,0.04088111221790314
976,976,976,0.9030986428260803,0.02007390186190605,0.8350633382797241,0.025367164984345436
468,468,468,0.8901352882385254,0.0010939690982922912,0.8714054226875305,0.0012888285564258695
721,721,721,0.8816485404968262,0.008388057351112366,0.9360315203666687,0.005682938266545534
790,790,790,0.7518373727798462,0.10142014920711517,0.527752161026001,0.10480991005897522
852,852,852,0.8741152882575989,0.0057822284288704395,0.7897022366523743,0.006223555654287338
971,971,971,0.8932819366455078,0.0007552698371000588,0.814769983291626,0.001831939211115241
678,678,678,0.6936880946159363,0.011536340229213238,0.6197359561920166,0.012919045053422451
634,634,634,0.47982749342918396,0.0573003888130188,0.23969927430152893,0.06582435965538025
354,354,354,0.8908100128173828,0.0008884394774213433,0.8318163752555847,0.0011216874700039625
636,636,636,0.4268011152744293,0.37923064827919006,0.41851839423179626,0.38392484188079834
129,129,129,0.8910152912139893,0.0008981042192317545,0.8502166271209717,0.001321270945481956
150,150,150,0.8290249705314636,0.005285895429551601,0.8405833840370178,0.010535568930208683
49,49,49,0.813139021396637,0.012902711518108845,0.7391202449798584,0.02402360923588276
638,638,638,0.5695167183876038,0.05787258967757225,0.47993284463882446,0.0659835934638977
359,359,359,0.3935946524143219,0.27090656757354736,0.494577020406723,0.22102364897727966
190,190,190,0.8016831278800964,0.0180605910718441,0.7303548455238342,0.020366854965686798
93,93,93,0.8974521160125732,0.00792606920003891,0.8693215847015381,0.007131767459213734
658,658,658,0.810358464717865,0.044561851769685745,0.8548086285591125,0.022379331290721893
570,570,570,0.8864871263504028,0.01467851921916008,0.8265437483787537,0.013926764950156212
962,962,962,0.8709501028060913,0.0026739398017525673,0.8870158195495605,0.003017878858372569
959,959,959,0.9169265627861023,0.0014635921688750386,0.884057343006134,0.0020860787481069565
480,480,480,0.8770349025726318,0.012017899192869663,0.8904416561126709,0.010915298946201801
981,981,981,0.8117194771766663,0.06390269100666046,0.7833116054534912,0.08384083211421967
441,441,441,0.8138865232467651,0.0515713170170784,0.8948948383331299,0.024965645745396614
665,665,665,0.6139200329780579,0.03661886975169182,0.5000289678573608,0.036944612860679626
565,565,565,0.8964168429374695,0.0009725088602863252,0.8383898138999939,0.0015900034923106432
448,448,448,0.6306490302085876,0.22298187017440796,0.5524718165397644,0.2514108717441559
773,773,773,0.8384592533111572,0.0443856343626976,0.5899136066436768,0.11358590424060822
