ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
806,806,806,0.7875770926475525,0.013613465242087841,0.6536446809768677,0.01433295477181673
379,379,379,0.9130319356918335,0.009109909646213055,0.7266690731048584,0.013080354779958725
973,973,973,0.7586278915405273,0.02218964509665966,0.5336503386497498,0.022693714126944542
958,958,958,0.6193602681159973,0.005133496597409248,0.5850197076797485,0.004560450091958046
777,777,777,0.8902816772460938,0.002173865679651499,0.8494356870651245,0.0027403137646615505
625,625,625,0.9104734659194946,0.0019993504974991083,0.8140445947647095,0.001977877225726843
967,967,967,0.7338367104530334,0.07123789936304092,0.6423445343971252,0.07972290366888046
522,522,522,0.6467553973197937,0.047150176018476486,0.3677431046962738,0.04216913506388664
335,335,335,0.734542727470398,0.014282715506851673,0.504851222038269,0.018449649214744568
20,20,20,0.8805326223373413,0.0006860354915261269,0.7358438372612,0.0012176795862615108
346,346,346,0.8453096747398376,0.018758762627840042,0.5916237831115723,0.026318060234189034
696,696,696,0.9079710245132446,0.0026950116734951735,0.7978894114494324,0.004749938379973173
627,627,627,0.9332731366157532,0.0028360027354210615,0.47029903531074524,0.011797345243394375
110,110,110,0.8097900152206421,0.06699972599744797,0.6668623685836792,0.0870208814740181
355,355,355,0.869715690612793,0.0017387164989486337,0.5244954824447632,0.0030851601622998714
374,374,374,0.6740135550498962,0.1425197422504425,0.310785174369812,0.10295456647872925
378,378,378,0.7393786311149597,0.03730376809835434,0.42487338185310364,0.035153940320014954
384,384,384,0.8973512053489685,0.0014466445427387953,0.741816520690918,0.0026156464591622353
596,596,596,0.5450584888458252,0.06172547489404678,0.29119640588760376,0.054290205240249634
460,460,460,0.9143277406692505,0.027699066326022148,0.6612025499343872,0.05411938950419426
39,39,39,0.8395517468452454,0.00504003232344985,0.5863546133041382,0.00845812913030386
164,164,164,0.8284130096435547,0.006174328271299601,0.4472132623195648,0.009572035633027554
17,17,17,0.9236162900924683,0.0007707044132985175,0.5860676169395447,0.003266469808295369
150,150,150,0.7956482172012329,0.01869911514222622,0.5982767939567566,0.017754709348082542
63,63,63,0.9320402145385742,0.0017972373170778155,0.8680872917175293,0.0028875733260065317
820,820,820,0.753372073173523,0.021254658699035645,0.3910052180290222,0.02443724311888218
820,820,820,0.8511589169502258,0.003117865417152643,0.5013706088066101,0.005284566432237625
184,184,184,0.8971622586250305,0.0048653678968548775,0.7255658507347107,0.00924244150519371
994,994,994,0.8468412756919861,0.0014754270669072866,0.7874898314476013,0.0020030655432492495
686,686,686,0.3000633120536804,0.0935889184474945,0.10220281779766083,0.062457192689180374
592,592,592,0.8993727564811707,0.0009602777427062392,0.7763338088989258,0.0021776503417640924
459,459,459,0.913788914680481,0.006915542762726545,0.8335622549057007,0.007526793982833624
337,337,337,0.9138848185539246,0.001741468789987266,0.7955441474914551,0.0031946112867444754
33,33,33,0.9298306107521057,0.016058893874287605,0.8373059034347534,0.01993134431540966
294,294,294,0.6929501891136169,0.007980475202202797,0.32926875352859497,0.008163952268660069
419,419,419,0.9296714663505554,0.0024060809519141912,0.8866204619407654,0.003060824703425169
264,264,264,0.8911683559417725,0.019500095397233963,0.7527646422386169,0.027851641178131104
513,513,513,0.7973315715789795,0.006886375602334738,0.6324094533920288,0.008891422301530838
296,296,653,0.3147590756416321,0.17797257006168365,0.18607458472251892,0.13266883790493011
166,166,166,0.9669085144996643,0.008752580732107162,0.8982760310173035,0.013238677754998207
818,818,818,0.36692023277282715,0.1450561136007309,0.17866256833076477,0.06059108301997185
820,820,820,0.885760486125946,0.0034461149480193853,0.7917811274528503,0.00506220106035471
365,365,365,0.6925734877586365,0.009871350601315498,0.5085151195526123,0.010192880406975746
63,63,63,0.8930009603500366,0.001568774925544858,0.7976435422897339,0.0022311958018690348
473,473,473,0.9111871123313904,0.020513473078608513,0.5163115859031677,0.047409966588020325
896,896,896,0.924997091293335,0.02188689261674881,0.8332991003990173,0.03254491463303566
778,778,778,0.5520834922790527,0.1368560492992401,0.3178859353065491,0.10920272022485733
625,625,625,0.9144500494003296,0.0006536417058669031,0.7104553580284119,0.0016913946019485593
505,505,505,0.5996243357658386,0.24237842857837677,0.48825347423553467,0.198339581489563
824,824,824,0.7531039714813232,0.007143694441765547,0.36351633071899414,0.00838413741439581
0,0,0,0.8376551866531372,0.0013465624069795012,0.6892543435096741,0.0026406615506857634
35,35,35,0.9172288179397583,0.005899537820369005,0.7194600701332092,0.013230705633759499
431,431,431,0.8822842836380005,0.022509127855300903,0.7195250988006592,0.028910694643855095
402,402,402,0.870317816734314,0.013525846414268017,0.514286994934082,0.019014976918697357
599,599,599,0.9259544014930725,0.00259976414963603,0.7318651676177979,0.006818871479481459
583,583,583,0.9115923643112183,0.0006697725621052086,0.7746925354003906,0.0010933749144896865
577,577,577,0.651124119758606,0.18240052461624146,0.4617277979850769,0.14327019453048706
185,185,185,0.8034164905548096,0.08159878849983215,0.534354031085968,0.10722500085830688
150,150,150,0.8775762319564819,0.0014940941473469138,0.7336851954460144,0.0018046682234853506
85,85,85,0.8837689161300659,0.005836953409016132,0.5253568291664124,0.010271542705595493
820,820,820,0.9109770059585571,0.004620987456291914,0.784887969493866,0.008198359049856663
807,807,807,0.7552196383476257,0.0035269041545689106,0.6078020334243774,0.003466913476586342
786,786,786,0.8639276623725891,0.032634835690259933,0.4982753396034241,0.06731870025396347
653,653,653,0.7878444790840149,0.030976993963122368,0.6191990375518799,0.03748762980103493
770,770,770,0.9108597040176392,0.003178772982209921,0.7699036598205566,0.005411612335592508
257,257,257,0.905170738697052,0.02284780889749527,0.8419201970100403,0.027335816994309425
66,66,66,0.380869597196579,0.3796304762363434,0.25011494755744934,0.23630662262439728
562,562,562,0.9211212396621704,0.001164686749689281,0.837635338306427,0.0020628762431442738
645,645,645,0.9135451316833496,0.004052177537232637,0.8942987322807312,0.0045341430231928825
230,230,230,0.6806033253669739,0.2100178748369217,0.6004258394241333,0.17490503191947937
