ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
474,474,474,0.8323054909706116,0.011654268950223923,0.6669238209724426,0.016857637092471123
518,518,518,0.8215419054031372,0.01946455053985119,0.48107683658599854,0.01483914628624916
144,144,144,0.869255781173706,0.0018269779393449426,0.7703485488891602,0.002208493882790208
127,127,127,0.8730115294456482,0.02301485277712345,0.8046755790710449,0.025047169998288155
240,241,241,0.717759907245636,0.12722232937812805,0.4182312786579132,0.11797750741243362
548,548,548,0.8764590620994568,0.020713647827506065,0.8230530023574829,0.024827834218740463
25,25,25,0.8752612471580505,0.007164810784161091,0.6969018578529358,0.010387551039457321
25,25,25,0.8851734399795532,0.009420531801879406,0.8080931305885315,0.012139217928051949
354,354,354,0.8115396499633789,0.0013633056078106165,0.4474330544471741,0.0026559289544820786
960,960,960,0.3567308187484741,0.3412037193775177,0.26913750171661377,0.16397778689861298
504,504,868,0.3219500780105591,0.3002818524837494,0.21508978307247162,0.21181772649288177
518,518,518,0.9386144876480103,0.0019460408948361874,0.6786352396011353,0.005037785042077303
767,767,767,0.6890888810157776,0.030128560960292816,0.35332784056663513,0.0444684661924839
97,97,97,0.9129092693328857,0.0012584864161908627,0.712446928024292,0.0034569043200463057
972,979,979,0.3276764750480652,0.15166018903255463,0.19073078036308289,0.12999491393566132
223,223,223,0.8711134195327759,0.00282293907366693,0.5060603618621826,0.007020188495516777
495,495,495,0.8457623720169067,0.005320154596120119,0.7216688394546509,0.006966241169720888
151,151,151,0.5842877626419067,0.18916550278663635,0.2826802134513855,0.13064183294773102
663,884,884,0.48405715823173523,0.16951629519462585,0.39879482984542847,0.13827762007713318
380,380,382,0.4216424226760864,0.41294682025909424,0.32037100195884705,0.2963070273399353
99,99,99,0.8559623956680298,0.003212936921045184,0.6489153504371643,0.003818787634372711
769,769,769,0.8618610501289368,0.003937543835490942,0.7370827794075012,0.005058422219008207
248,248,248,0.6505593061447144,0.16485406458377838,0.5342968106269836,0.15992951393127441
1,1,1,0.8543701767921448,0.0010775841074064374,0.6155472993850708,0.0019916354212909937
901,901,901,0.9330412149429321,0.0007594271446578205,0.813437283039093,0.0016296695685014129
14,14,14,0.8828787803649902,0.0005684958887286484,0.5371374487876892,0.0018540433375164866
520,520,520,0.9127999544143677,0.01851649582386017,0.8138769865036011,0.023658543825149536
292,292,292,0.8094538450241089,0.058980293571949005,0.7099819779396057,0.0720873698592186
962,962,962,0.8581233620643616,0.027658483013510704,0.7842354774475098,0.029922962188720703
882,882,882,0.8676154613494873,0.004449271131306887,0.2588520050048828,0.008315457962453365
191,191,191,0.9228309392929077,0.006796829868108034,0.8553380370140076,0.008253447711467743
914,914,914,0.6021814942359924,0.2359895408153534,0.33390429615974426,0.1720856875181198
