ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
474,474,474,0.8323054909706116,0.011654268950223923,0.7942103147506714,0.03026873618364334
518,518,518,0.8215419054031372,0.01946455053985119,0.7552554607391357,0.05593004450201988
144,144,144,0.869255781173706,0.0018269779393449426,0.8343034386634827,0.002756180241703987
127,127,127,0.8730115294456482,0.02301485277712345,0.8626313209533691,0.02212577313184738
240,241,241,0.717759907245636,0.12722232937812805,0.7175310254096985,0.1459410935640335
548,548,548,0.8764590620994568,0.020713647827506065,0.8502728343009949,0.020133471116423607
25,25,25,0.8752612471580505,0.007164810784161091,0.8711870908737183,0.009390155784785748
25,25,25,0.8851734399795532,0.009420531801879406,0.8612615466117859,0.018523413687944412
354,354,354,0.8115396499633789,0.0013633056078106165,0.8432790637016296,0.001246124505996704
960,960,927,0.3567308187484741,0.3412037193775177,0.40407055616378784,0.331331342458725
504,504,504,0.3219500780105591,0.3002818524837494,0.626370370388031,0.14791923761367798
518,518,518,0.9386144876480103,0.0019460408948361874,0.9060449600219727,0.0019354383694007993
767,767,767,0.6890888810157776,0.030128560960292816,0.3579206168651581,0.23510590195655823
97,97,97,0.9129092693328857,0.0012584864161908627,0.8831523656845093,0.0020023758988827467
972,979,972,0.3276764750480652,0.15166018903255463,0.4820089340209961,0.20609213411808014
223,223,223,0.8711134195327759,0.00282293907366693,0.8668220639228821,0.005639692768454552
495,495,495,0.8457623720169067,0.005320154596120119,0.9262700080871582,0.004644809756428003
151,151,151,0.5842877626419067,0.18916550278663635,0.541600227355957,0.2015763372182846
663,884,884,0.48405715823173523,0.16951629519462585,0.3571595847606659,0.13365763425827026
380,380,382,0.4216424226760864,0.41294682025909424,0.44264450669288635,0.3242218792438507
99,99,99,0.8559623956680298,0.003212936921045184,0.8969962000846863,0.0020885909907519817
769,769,769,0.8618610501289368,0.003937543835490942,0.9244235754013062,0.0027209576219320297
248,248,248,0.6505593061447144,0.16485406458377838,0.45517852902412415,0.2902606129646301
1,1,1,0.8543701767921448,0.0010775841074064374,0.9416102766990662,0.0009995924774557352
901,901,901,0.9330412149429321,0.0007594271446578205,0.9216338396072388,0.0010142115643247962
14,14,14,0.8828787803649902,0.0005684958887286484,0.9173334240913391,0.000943234539590776
520,520,520,0.9127999544143677,0.01851649582386017,0.9293736219406128,0.007696622516959906
292,292,292,0.8094538450241089,0.058980293571949005,0.8049643039703369,0.058545731008052826
962,962,962,0.8581233620643616,0.027658483013510704,0.9234410524368286,0.020864177495241165
882,882,882,0.8676154613494873,0.004449271131306887,0.8420864343643188,0.01103669311851263
191,191,191,0.9228309392929077,0.006796829868108034,0.8953114151954651,0.010466133244335651
914,914,914,0.6021814942359924,0.2359895408153534,0.42520079016685486,0.38180238008499146
