ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
474,474,474,0.8886349201202393,0.004325502552092075,0.90069580078125,0.004649983253329992
518,518,518,0.8592071533203125,0.010961531661450863,0.8136035203933716,0.015402751043438911
144,144,144,0.8421646952629089,0.0036150615196675062,0.8292194604873657,0.004138344433158636
127,127,127,0.8083809614181519,0.0452897883951664,0.8148221373558044,0.05712471902370453
240,241,238,0.5145896673202515,0.3098311722278595,0.4399253726005554,0.36063799262046814
548,548,548,0.8797052502632141,0.012283115647733212,0.85738205909729,0.02027270197868347
25,25,25,0.8123260140419006,0.006745082326233387,0.8299931287765503,0.00565472012385726
25,25,25,0.8708505630493164,0.00883390847593546,0.8560382127761841,0.011774927377700806
354,354,354,0.8238788843154907,0.0009656805777922273,0.8552970290184021,0.0007133785402402282
960,960,960,0.3949173390865326,0.3011409044265747,0.4074639081954956,0.30061113834381104
504,504,868,0.2727244198322296,0.23891857266426086,0.26387619972229004,0.26052626967430115
518,518,518,0.9084172248840332,0.0007540385704487562,0.865901529788971,0.001394404098391533
767,767,767,0.7843422889709473,0.05844271555542946,0.6734510064125061,0.06305666267871857
97,97,97,0.8973883986473083,0.0013406281359493732,0.887298047542572,0.002820395864546299
972,972,979,0.3410075902938843,0.31017765402793884,0.3308287560939789,0.28652244806289673
223,223,223,0.9252899885177612,0.004329898860305548,0.9314830899238586,0.005181038752198219
495,495,495,0.8930818438529968,0.002500574802979827,0.9023895859718323,0.0027007812168449163
151,237,253,0.3961307108402252,0.12612783908843994,0.2505638003349304,0.24614055454730988
663,873,873,0.23345448076725006,0.18049471080303192,0.26743897795677185,0.2129034548997879
380,382,382,0.4620487689971924,0.29114702343940735,0.48194634914398193,0.28682568669319153
99,99,99,0.8216328024864197,0.0014488716842606664,0.8283233642578125,0.0014242959441617131
769,769,769,0.9104501605033875,0.002483867108821869,0.9105203151702881,0.001951051875948906
248,248,248,0.6275935173034668,0.12046893686056137,0.6142019033432007,0.12025218456983566
1,1,1,0.8238969445228577,0.011258860118687153,0.8756107687950134,0.0025866508949548006
901,901,901,0.890410304069519,0.0007537721539847553,0.9378179311752319,0.0005728177493438125
14,14,14,0.8719871640205383,0.0007929491112008691,0.9054191708564758,0.002277788007631898
520,520,520,0.882398247718811,0.021680988371372223,0.8843113780021667,0.022335737943649292
292,292,292,0.7856336236000061,0.08615744113922119,0.8029466271400452,0.08191324025392532
962,962,962,0.869724452495575,0.011114501394331455,0.5615243911743164,0.06507959961891174
882,882,882,0.8738846778869629,0.0012184977531433105,0.8288253545761108,0.0014853941975161433
191,191,191,0.9102805256843567,0.005540863145142794,0.9209706783294678,0.005238225217908621
914,914,914,0.6579552292823792,0.19699746370315552,0.7159949541091919,0.14945001900196075
