ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
474,474,474,0.8886349201202393,0.004325502552092075,0.9079055786132812,0.003638586727902293
518,518,518,0.8592071533203125,0.010961531661450863,0.8909907937049866,0.00658223032951355
144,144,144,0.8421646952629089,0.0036150615196675062,0.6482095718383789,0.008387623354792595
127,127,127,0.8083809614181519,0.0452897883951664,0.7088929414749146,0.038980819284915924
240,241,241,0.5145896673202515,0.3098311722278595,0.5079445242881775,0.3181729018688202
548,548,548,0.8797052502632141,0.012283115647733212,0.8750171065330505,0.012015638872981071
25,25,25,0.8123260140419006,0.006745082326233387,0.774147629737854,0.009176972322165966
25,25,25,0.8708505630493164,0.00883390847593546,0.8793759346008301,0.008279948495328426
354,354,354,0.8238788843154907,0.0009656805777922273,0.7996385097503662,0.001157886115834117
960,960,960,0.3949173390865326,0.3011409044265747,0.40063393115997314,0.291118323802948
504,504,504,0.2727244198322296,0.23891857266426086,0.2799334228038788,0.22699490189552307
518,518,518,0.9084172248840332,0.0007540385704487562,0.8462813496589661,0.0011368903797119856
767,767,767,0.7843422889709473,0.05844271555542946,0.6784654259681702,0.07368381321430206
97,97,97,0.8973883986473083,0.0013406281359493732,0.8934244513511658,0.0013536035548895597
972,972,972,0.3410075902938843,0.31017765402793884,0.3279711604118347,0.3036520779132843
223,223,223,0.9252899885177612,0.004329898860305548,0.8657659292221069,0.006030624732375145
495,495,495,0.8930818438529968,0.002500574802979827,0.8929070234298706,0.002633064752444625
151,237,237,0.3961307108402252,0.12612783908843994,0.3460018038749695,0.1286061555147171
663,873,873,0.23345448076725006,0.18049471080303192,0.23627719283103943,0.18196700513362885
380,382,382,0.4620487689971924,0.29114702343940735,0.4680786430835724,0.27452901005744934
99,99,99,0.8216328024864197,0.0014488716842606664,0.786257803440094,0.0016249115578830242
769,769,769,0.9104501605033875,0.002483867108821869,0.9153485298156738,0.002422512276098132
248,248,248,0.6275935173034668,0.12046893686056137,0.5806362628936768,0.1456480771303177
1,1,1,0.8238969445228577,0.011258860118687153,0.48134514689445496,0.02395346388220787
901,901,901,0.890410304069519,0.0007537721539847553,0.8837442398071289,0.0008071310585364699
14,14,14,0.8719871640205383,0.0007929491112008691,0.8749607801437378,0.0007621713448315859
520,520,520,0.882398247718811,0.021680988371372223,0.8869389295578003,0.020752521231770515
292,292,292,0.7856336236000061,0.08615744113922119,0.7262636423110962,0.11878858506679535
962,962,962,0.869724452495575,0.011114501394331455,0.8786696195602417,0.01157741341739893
882,882,882,0.8738846778869629,0.0012184977531433105,0.8394166827201843,0.0014725575456395745
191,191,191,0.9102805256843567,0.005540863145142794,0.9134102463722229,0.005190246272832155
914,914,914,0.6579552292823792,0.19699746370315552,0.6325095295906067,0.20949821174144745
