ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
601,601,601,0.5031582117080688,0.09071369469165802,0.27838796377182007,0.12886931002140045
301,301,301,0.7611375451087952,0.08128426223993301,0.6175365447998047,0.1763794720172882
697,697,697,0.9287323951721191,0.0024166901130229235,0.8564680814743042,0.003691120306029916
276,276,276,0.8700321316719055,0.030497485771775246,0.8207415342330933,0.04057346656918526
832,832,832,0.8586631417274475,0.001466986257582903,0.7891618609428406,0.006977141834795475
29,29,29,0.8788490295410156,0.018845928832888603,0.8622772097587585,0.03102985955774784
781,781,781,0.8169798851013184,0.0015096919378265738,0.781438946723938,0.0038178202230483294
167,167,167,0.25008392333984375,0.22768118977546692,0.17151662707328796,0.15386401116847992
785,691,754,0.23050829768180847,0.22863779962062836,0.03195668011903763,0.03191801533102989
40,40,40,0.6150757074356079,0.2516210377216339,0.5611523389816284,0.27650153636932373
858,858,858,0.833775520324707,0.018825525417923927,0.8431593179702759,0.003511024871841073
734,734,734,0.8957806825637817,0.00942155346274376,0.8071288466453552,0.02819555066525936
243,243,243,0.8422307372093201,0.032722778618335724,0.7149258255958557,0.0727449581027031
445,445,445,0.8724867701530457,0.022471405565738678,0.6113750338554382,0.055784519761800766
229,229,229,0.8893293738365173,0.010447259061038494,0.8438725471496582,0.023412687703967094
479,479,479,0.8537859916687012,0.010970741510391235,0.5807071328163147,0.01989465393126011
876,876,876,0.4462395906448364,0.3623725175857544,0.406268835067749,0.24023069441318512
410,410,410,0.8176357746124268,0.018295912072062492,0.7934123873710632,0.01923387125134468
309,309,309,0.8314579129219055,0.00706388708204031,0.7179163694381714,0.014951878227293491
630,630,630,0.9615563750267029,0.0013577321078628302,0.388606458902359,0.19267883896827698
856,595,595,0.8410819172859192,0.06294899433851242,0.7098182439804077,0.09202925860881805
514,514,514,0.8541420698165894,0.002362287137657404,0.8669729828834534,0.002662785816937685
600,600,600,0.5553752779960632,0.14244301617145538,0.030968930572271347,0.016919776797294617
478,478,949,0.7058887481689453,0.09604274481534958,0.312358021736145,0.044172730296850204
855,855,855,0.9397833943367004,0.0008754469454288483,0.8090036511421204,0.019330276176333427
485,485,485,0.5012075304985046,0.12421021610498428,0.3592394292354584,0.15518951416015625
867,867,867,0.5954912900924683,0.16524110734462738,0.22704510390758514,0.15594954788684845
777,777,777,0.8385578393936157,0.014632881619036198,0.7989558577537537,0.01180922519415617
527,527,527,0.38789185881614685,0.19131328165531158,0.3960772156715393,0.20970676839351654
74,74,74,0.8007511496543884,0.07065033912658691,0.5950765609741211,0.13898709416389465
889,889,889,0.756495475769043,0.1285926252603531,0.5921903848648071,0.17500972747802734
128,128,128,0.7601754069328308,0.049815692007541656,0.7171493768692017,0.05046110227704048
