model,microop,precision,diff_threshold,# total,# altered,# float,# -inf,# +inf,# nan,mean RE < 0,mean RE > 0,len(RE < 0),len(RE > 0),# val >= 0 and < 1e3,# val >= 1e3 and < 1M,# val >= 1M and < 1B,# val >= 1B and < 1e20,# val >= 1e20 and < 1e30,# val > 1e30,# val < 0 and > -1e3,# val <= -1e3 and > -1M,# val <= -1M and > -1B,# val <= -1B and > -1e20,# val <= -1e20 and > -1e30,# val <= -1e30,max_diff,min_diff
swin_base_patch4_window7_224,Mlp,fp16,0.0001,17661952,1601188,1600164,0,0,1024,-0.11809814954920145,0.12858338385825557,809173,790991,801841,0,0,0,0,0,798323,0,0,0,0,0,7.977676391601562,-8.096672058105469
swin_base_patch4_window7_224,Mlp,fp16,0.001,17661952,1253177,1252153,0,0,1024,-0.14502811686535655,0.14800788459321446,636607,615546,627617,0,0,0,0,0,624536,0,0,0,0,0,7.977676391601562,-8.096672058105469
swin_base_patch4_window7_224,Mlp,fp32,0.0001,54591488,51488651,51487627,0,0,1024,-0.09214096849202011,0.1037561451991787,25816631,25670996,25704664,0,0,0,0,0,25782963,0,0,0,0,0,635.7999877929688,-508.0828552246094
swin_base_patch4_window7_224,Mlp,fp32,0.001,54591488,40097971,40096947,0,0,1024,-0.12431145371661581,0.129636604861268,20067436,20029511,20016334,0,0,0,0,0,20080613,0,0,0,0,0,635.7999877929688,-508.0828552246094
swin_base_patch4_window7_224,SwinTransformerBlock,fp16,0.0001,221577216,217533689,216295673,0,0,1238016,-0.13566943700239445,0.1247060964759128,106314116,109962560,107990260,0,0,123406,0,7133,108043253,0,0,124402,0,7219,5.386385827815292e+37,-4.52151650106262e+37
swin_base_patch4_window7_224,SwinTransformerBlock,fp16,0.001,221577216,195927179,194689163,0,0,1238016,-0.1426247316424833,0.1301685044450899,95609031,99063708,97264981,0,0,123406,0,7133,97162022,0,0,124402,0,7219,5.386385827815292e+37,-4.52151650106262e+37
swin_base_patch4_window7_224,SwinTransformerBlock,fp32,0.0001,194281472,185819454,184108686,2235,501,1708032,-0.15185749815941124,0.14747379052374285,92634716,91473970,92078156,251,0,0,0,505,92028585,670,0,0,0,519,4.776678594490999e+36,-3.972320378992632e+36
swin_base_patch4_window7_224,SwinTransformerBlock,fp32,0.001,194281472,167543078,165832310,2235,501,1708032,-0.16524313164904614,0.1716655079273949,83418474,82413836,82874207,251,0,0,0,505,82956158,670,0,0,0,519,4.776678594490999e+36,-3.972320378992632e+36
swin_base_patch4_window7_224,WindowAttention,fp16,0.0001,41746432,460666,410489,24843,25334,1024,-0.013360509955636,0.0142953825778648,205453,204012,204143,0,0,0,0,0,205322,0,0,0,0,0,31.65625,-8.5
swin_base_patch4_window7_224,WindowAttention,fp16,0.001,41746432,286117,235940,24843,25334,1024,-0.0441212282640062,0.04024564818039515,117744,117172,117524,0,0,0,0,0,117392,0,0,0,0,0,31.65625,-8.5
