model,dataset,precision,image_id,top1_prob,top2_prob,top_diff,top1_class,top2_class
swin_base_patch4_window7_224,imagenet,fp32,26711,0.5760290622711182,0.06752211600542068,0.5085069462656975,618,818
swin_base_patch4_window7_224,imagenet,fp32,15753,0.7556766867637634,0.08422857522964478,0.6714481115341187,358,359
swin_base_patch4_window7_224,imagenet,fp32,38508,0.9398159980773926,0.001443555811420083,0.9383724422659725,901,899
swin_base_patch4_window7_224,imagenet,fp32,33979,0.8751642107963562,0.005762218497693539,0.8694019922986627,792,462
swin_base_patch4_window7_224,imagenet,fp32,29047,0.4878968596458435,0.17927108705043793,0.3086257725954056,675,654
swin_base_patch4_window7_224,imagenet,fp32,5194,0.8682073354721069,0.0016785890329629183,0.866528746439144,116,69
swin_base_patch4_window7_224,imagenet,fp32,39689,0.8439992070198059,0.0175445806235075,0.8264546263962984,930,961
swin_base_patch4_window7_224,imagenet,fp32,27076,0.8838549256324768,0.0019632726907730103,0.8818916529417038,627,436
swin_base_patch4_window7_224,imagenet,fp32,18940,0.8649716973304749,0.008798196911811829,0.856173500418663,432,683
swin_base_patch4_window7_224,imagenet,fp32,134,0.7402284145355225,0.15741954743862152,0.5828088670969009,2,3
swin_base_patch4_window7_224,imagenet,fp32,36709,0.8864587545394897,0.0012431161012500525,0.8852156384382397,858,538
swin_base_patch4_window7_224,imagenet,fp32,15558,0.9386734366416931,0.012247525155544281,0.9264259114861488,353,352
swin_base_patch4_window7_224,imagenet,fp32,13739,0.8278459906578064,0.0009806066518649459,0.8268653840059415,314,302
swin_base_patch4_window7_224,imagenet,fp32,8616,0.8983221054077148,0.00741080055013299,0.8909113048575819,194,186
swin_base_patch4_window7_224,imagenet,fp32,17222,0.8647949695587158,0.0009763076668605208,0.8638186618918553,392,973
swin_base_patch4_window7_224,imagenet,fp32,20173,0.9421773552894592,0.0019973274320364,0.9401800278574228,462,840
swin_base_patch4_window7_224,imagenet,fp32,28192,0.8460116386413574,0.06294553726911545,0.783066101372242,654,705
swin_base_patch4_window7_224,imagenet,fp32,6258,0.9030289649963379,0.0013351967791095376,0.9016937682172284,139,143
swin_base_patch4_window7_224,imagenet,fp32,38037,0.7998050451278687,0.02457982674241066,0.775225218385458,890,615
swin_base_patch4_window7_224,imagenet,fp32,4487,0.775285005569458,0.07510683685541153,0.7001781687140465,101,385
swin_base_patch4_window7_224,imagenet,fp32,12967,0.8987035155296326,0.0015477379783988,0.8971557775512338,296,294
swin_base_patch4_window7_224,imagenet,fp32,34186,0.9039367437362671,0.0018857172690331936,0.9020510264672339,797,750
swin_base_patch4_window7_224,imagenet,fp32,16447,0.8359555006027222,0.023003393784165382,0.8129521068185568,374,371
swin_base_patch4_window7_224,imagenet,fp32,39915,0.8351829648017883,0.013133390806615353,0.822049573995173,935,962
swin_base_patch4_window7_224,imagenet,fp32,25683,0.891778290271759,0.0003898274735547602,0.8913884627982043,594,839
swin_base_patch4_window7_224,imagenet,fp32,37379,0.8898162245750427,0.019775748252868652,0.8700404763221741,874,829
swin_base_patch4_window7_224,imagenet,fp32,34566,0.8747100830078125,0.05672227963805199,0.8179878033697605,805,890
swin_base_patch4_window7_224,imagenet,fp32,10496,0.9269883036613464,0.008038109168410301,0.9189501944929361,237,151
swin_base_patch4_window7_224,imagenet,fp32,40438,0.5326372385025024,0.38340064883232117,0.14923658967018127,947,992
swin_base_patch4_window7_224,imagenet,fp32,36060,0.8229312896728516,0.03207864239811897,0.7908526472747326,843,890
swin_base_patch4_window7_224,imagenet,fp32,28745,0.8880407810211182,0.002673322567716241,0.8853674584534019,668,538
swin_base_patch4_window7_224,imagenet,fp32,30186,0.8784130215644836,0.054063111543655396,0.8243499100208282,702,602
swin_base_patch4_window7_224,imagenet,fp32,36395,0.8058153390884399,0.03479258716106415,0.7710227519273758,851,782
swin_base_patch4_window7_224,imagenet,fp32,30376,0.8611193299293518,0.015114440582692623,0.8460048893466592,707,528
swin_base_patch4_window7_224,imagenet,fp32,13174,0.8684495687484741,0.006733224261552095,0.861716344486922,300,302
swin_base_patch4_window7_224,imagenet,fp32,29396,0.33332204818725586,0.31914830207824707,0.014173746109008789,684,719
swin_base_patch4_window7_224,imagenet,fp32,25702,0.9180777668952942,0.011115342378616333,0.9069624245166779,595,856
swin_base_patch4_window7_224,imagenet,fp32,3153,0.7536842226982117,0.14591272175312042,0.6077715009450912,72,74
swin_base_patch4_window7_224,imagenet,fp32,15128,0.8124380111694336,0.015146136283874512,0.7972918748855591,343,342
swin_base_patch4_window7_224,imagenet,fp32,36133,0.5549306869506836,0.05133238807320595,0.5035982988774776,844,754
swin_base_patch4_window7_224,imagenet,fp32,40286,0.8520559072494507,0.043747931718826294,0.8083079755306244,944,946
swin_base_patch4_window7_224,imagenet,fp32,40146,0.937384307384491,0.0014444859698414803,0.9359398214146495,940,942
swin_base_patch4_window7_224,imagenet,fp32,5876,0.8846375346183777,0.0017073076451197267,0.882930226973258,131,132
swin_base_patch4_window7_224,imagenet,fp32,34283,0.6206251978874207,0.18466685712337494,0.4359583407640457,799,706
swin_base_patch4_window7_224,imagenet,fp32,2631,0.4183023273944855,0.18940317630767822,0.22889915108680725,59,55
swin_base_patch4_window7_224,imagenet,fp32,37187,0.8885063529014587,0.000932679686229676,0.8875736732152291,870,518
swin_base_patch4_window7_224,imagenet,fp32,15689,0.843701183795929,0.019027283415198326,0.8246739003807306,357,358
