model,dataset,precision,image,ground_truth,pred,top1_prob,top2_prob,top_diff
swin_base_patch4_window7_224,imagenet,fp32,0,0,0,0.7245800495147705,0.06571367383003235,0.6588663756847382
swin_base_patch4_window7_224,imagenet,fp32,1,0,0,0.8803287744522095,0.008521509356796741,0.8718072650954127
swin_base_patch4_window7_224,imagenet,fp32,2,0,0,0.9026120901107788,0.02257043495774269,0.8800416551530361
swin_base_patch4_window7_224,imagenet,fp32,3,0,0,0.910861611366272,0.001090453239157796,0.9097711581271142
swin_base_patch4_window7_224,imagenet,fp32,4,0,0,0.8827853798866272,0.0010027753887698054,0.8817826044978574
swin_base_patch4_window7_224,imagenet,fp32,5,0,0,0.8946837186813354,0.005125068593770266,0.8895586500875652
swin_base_patch4_window7_224,imagenet,fp32,6,0,0,0.8915518522262573,0.0011964879231527448,0.8903553643031046
swin_base_patch4_window7_224,imagenet,fp32,7,0,0,0.9191175103187561,0.004194347653537989,0.9149231626652181
swin_base_patch4_window7_224,imagenet,fp32,8,0,0,0.9157460927963257,0.009441826492547989,0.9063042663037777
swin_base_patch4_window7_224,imagenet,fp32,9,0,0,0.8780161142349243,0.017475293949246407,0.8605408202856779
swin_base_patch4_window7_224,imagenet,fp32,10,0,133,0.9102640151977539,0.0012189572444185615,0.9090450579533353
swin_base_patch4_window7_224,imagenet,fp32,11,0,0,0.8376548886299133,0.0013465664815157652,0.8363083221483976
swin_base_patch4_window7_224,imagenet,fp32,12,0,0,0.9159631729125977,0.0014503397978842258,0.9145128331147134
swin_base_patch4_window7_224,imagenet,fp32,13,0,0,0.9055047631263733,0.0021248769480735064,0.9033798861782998
swin_base_patch4_window7_224,imagenet,fp32,14,0,0,0.9044600129127502,0.006840187590569258,0.897619825322181
swin_base_patch4_window7_224,imagenet,fp32,15,0,0,0.9212928414344788,0.0008350452990271151,0.9204577961354516
swin_base_patch4_window7_224,imagenet,fp32,16,0,0,0.9015320539474487,0.0007064678939059377,0.9008255860535428
swin_base_patch4_window7_224,imagenet,fp32,17,0,0,0.8735636472702026,0.0007508290582336485,0.872812818211969
swin_base_patch4_window7_224,imagenet,fp32,18,0,0,0.890449047088623,0.0008004172123037279,0.8896486298763193
swin_base_patch4_window7_224,imagenet,fp32,19,0,0,0.8851855993270874,0.001373410690575838,0.8838121886365116
swin_base_patch4_window7_224,imagenet,fp32,20,0,0,0.9063596725463867,0.0008133109658956528,0.9055463615804911
swin_base_patch4_window7_224,imagenet,fp32,21,0,0,0.8988365530967712,0.0015066200867295265,0.8973299330100417
swin_base_patch4_window7_224,imagenet,fp32,22,0,0,0.8946897983551025,0.001002829521894455,0.8936869688332081
swin_base_patch4_window7_224,imagenet,fp32,23,0,0,0.8811835050582886,0.0032469495199620724,0.8779365555383265
swin_base_patch4_window7_224,imagenet,fp32,24,0,0,0.8670949935913086,0.0008571617072448134,0.8662378318840638
swin_base_patch4_window7_224,imagenet,fp32,25,0,0,0.8224424123764038,0.027988554909825325,0.7944538574665785
