model,dataset,precision,image_id,top1_prob,top2_prob,top_diff,top1_class,top2_class
vit_base_patch16_224,imagenet,fp32,28890,0.882805347442627,0.0021846797317266464,0.8806206677109003,673,518
vit_base_patch16_224,imagenet,fp32,29698,0.7603932619094849,0.0595751628279686,0.7008180990815163,693,472
vit_base_patch16_224,imagenet,fp32,1438,0.7510250210762024,0.017326749861240387,0.733698271214962,30,32
vit_base_patch16_224,imagenet,fp32,23894,0.7381242513656616,0.03169706091284752,0.7064271904528141,554,562
vit_base_patch16_224,imagenet,fp32,5150,0.888503909111023,0.00262136897072196,0.885882540140301,116,69
vit_base_patch16_224,imagenet,fp32,17630,0.8836845755577087,0.0020306657534092665,0.8816539098042995,402,546
vit_base_patch16_224,imagenet,fp32,32040,0.7248080372810364,0.11604103446006775,0.6087670028209686,748,893
vit_base_patch16_224,imagenet,fp32,37242,0.9138156175613403,0.006679970305413008,0.9071356472559273,873,884
vit_base_patch16_224,imagenet,fp32,5412,0.6756895184516907,0.025779200717806816,0.6499103177338839,122,123
vit_base_patch16_224,imagenet,fp32,36876,0.8348595499992371,0.033236805349588394,0.8016227446496487,865,850
vit_base_patch16_224,imagenet,fp32,22672,0.9244439005851746,0.0016874272841960192,0.9227564733009785,525,449
vit_base_patch16_224,imagenet,fp32,3354,0.5330187678337097,0.2278786450624466,0.3051401227712631,77,73
vit_base_patch16_224,imagenet,fp32,31298,0.8716551661491394,0.009326440282166004,0.8623287258669734,730,866
vit_base_patch16_224,imagenet,fp32,23872,0.8845466375350952,0.0012536855647340417,0.8832929519703612,554,562
vit_base_patch16_224,imagenet,fp32,16132,0.8000321984291077,0.02112612873315811,0.7789060696959496,367,366
vit_base_patch16_224,imagenet,fp32,13836,0.8756367564201355,0.005713411141186953,0.8699233452789485,316,988
vit_base_patch16_224,imagenet,fp32,11937,0.8186882138252258,0.040751710534095764,0.7779365032911301,272,271
vit_base_patch16_224,imagenet,fp32,19684,0.7362900972366333,0.052063629031181335,0.684226468205452,451,692
vit_base_patch16_224,imagenet,fp32,28414,0.8830201029777527,0.01068662665784359,0.8723334763199091,661,479
vit_base_patch16_224,imagenet,fp32,887,0.7888368964195251,0.020790666341781616,0.7680462300777435,18,16
vit_base_patch16_224,imagenet,fp32,42519,0.8385614156723022,0.01701052114367485,0.8215508945286274,999,656
vit_base_patch16_224,imagenet,fp32,37697,0.5119407176971436,0.1616179347038269,0.35032278299331665,884,497
vit_base_patch16_224,imagenet,fp32,4357,0.8936483263969421,0.000769343227148056,0.8928789831697941,98,99
vit_base_patch16_224,imagenet,fp32,5232,0.9003587365150452,0.0004127397551201284,0.899945996759925,117,506
vit_base_patch16_224,imagenet,fp32,17541,0.8837775588035583,0.06407447904348373,0.8197030797600746,400,667
vit_base_patch16_224,imagenet,fp32,7143,0.36761537194252014,0.09573253244161606,0.2718828395009041,159,214
vit_base_patch16_224,imagenet,fp32,9025,0.8950058817863464,0.020302744582295418,0.874703137204051,204,155
vit_base_patch16_224,imagenet,fp32,12981,0.732214093208313,0.04209504276514053,0.6901190504431725,296,294
vit_base_patch16_224,imagenet,fp32,27946,0.9212439656257629,0.001705435337498784,0.9195385302882642,649,884
vit_base_patch16_224,imagenet,fp32,28675,0.7821727395057678,0.11195866018533707,0.6702140793204308,668,538
vit_base_patch16_224,imagenet,fp32,25645,0.8279204964637756,0.011131616309285164,0.8167888801544905,594,486
vit_base_patch16_224,imagenet,fp32,42056,0.909419596195221,0.0003868558269459754,0.909032740368275,988,990
vit_base_patch16_224,imagenet,fp32,35773,0.2227121889591217,0.2015235275030136,0.021188661456108093,838,929
vit_base_patch16_224,imagenet,fp32,36127,0.5672967433929443,0.3133451044559479,0.25395163893699646,846,619
vit_base_patch16_224,imagenet,fp32,22769,0.4207007586956024,0.11834511905908585,0.30235563963651657,527,508
vit_base_patch16_224,imagenet,fp32,6505,0.8676770329475403,0.00047458542394451797,0.8672024475235958,145,96
vit_base_patch16_224,imagenet,fp32,5416,0.8286400437355042,0.01048880536109209,0.8181512383744121,122,124
vit_base_patch16_224,imagenet,fp32,37985,0.8818250894546509,0.0009903195314109325,0.88083476992324,891,810
vit_base_patch16_224,imagenet,fp32,32388,0.8577836751937866,0.03310777246952057,0.824675902724266,756,427
vit_base_patch16_224,imagenet,fp32,33344,0.8696557283401489,0.0007232206990011036,0.8689325076411478,779,811
vit_base_patch16_224,imagenet,fp32,26050,0.8728924989700317,0.0005424556438811123,0.8723500433261506,604,404
vit_base_patch16_224,imagenet,fp32,22385,0.9019550681114197,0.0018365037394687533,0.9001185643719509,518,678
vit_base_patch16_224,imagenet,fp32,29420,0.9087501168251038,0.0020332075655460358,0.9067169092595577,686,535
vit_base_patch16_224,imagenet,fp32,29249,0.8908731937408447,0.0017706174403429031,0.8891025763005018,682,708
vit_base_patch16_224,imagenet,fp32,21534,0.844404399394989,0.03296218812465668,0.8114422112703323,497,483
vit_base_patch16_224,imagenet,fp32,30744,0.5181240439414978,0.12783563137054443,0.39028841257095337,717,864
vit_base_patch16_224,imagenet,fp32,25188,0.8967150449752808,0.008974294178187847,0.8877407507970929,583,765
vit_base_patch16_224,imagenet,fp32,10292,0.7563973665237427,0.05526142194867134,0.7011359445750713,233,192
vit_base_patch16_224,imagenet,fp32,1835,0.5568168759346008,0.2868470847606659,0.26996979117393494,40,46
vit_base_patch16_224,imagenet,fp32,40186,0.8524914383888245,0.004484260454773903,0.8480071779340506,944,946
vit_base_patch16_224,imagenet,fp32,9216,0.820061206817627,0.037799861282110214,0.7822613455355167,209,208
vit_base_patch16_224,imagenet,fp32,4200,0.8744131922721863,0.006131444592028856,0.8682817476801574,95,92
vit_base_patch16_224,imagenet,fp32,33350,0.9059289693832397,0.001386805553920567,0.9045421638293192,779,468
vit_base_patch16_224,imagenet,fp32,26398,0.8867743611335754,0.0013367494102567434,0.8854376117233187,611,239
vit_base_patch16_224,imagenet,fp32,5793,0.8596081137657166,0.002298617735505104,0.8573094960302114,130,134
vit_base_patch16_224,imagenet,fp32,30920,0.916968822479248,0.0006728473235853016,0.9162959751556627,721,831
vit_base_patch16_224,imagenet,fp32,30418,0.8570273518562317,0.008206773549318314,0.8488205783069134,710,767
vit_base_patch16_224,imagenet,fp32,24921,0.6684845685958862,0.16636532545089722,0.502119243144989,577,494
vit_base_patch16_224,imagenet,fp32,41040,0.6127178072929382,0.08298416435718536,0.5297336429357529,963,440
vit_base_patch16_224,imagenet,fp32,38730,0.8107209205627441,0.01775938831269741,0.7929615322500467,910,813
vit_base_patch16_224,imagenet,fp32,27715,0.886508047580719,0.004827381577342749,0.8816806660033762,644,767
vit_base_patch16_224,imagenet,fp32,22218,0.8396708965301514,0.0011521379929035902,0.8385187585372478,514,515
vit_base_patch16_224,imagenet,fp32,29486,0.8787721991539001,0.0012387644965201616,0.87753343465738,687,884
vit_base_patch16_224,imagenet,fp32,2006,0.9229963421821594,0.0013867627130821347,0.9216095794690773,44,41
vit_base_patch16_224,imagenet,fp32,27363,0.5865107774734497,0.07214856147766113,0.5143622159957886,635,471
vit_base_patch16_224,imagenet,fp32,25896,0.37721624970436096,0.33722439408302307,0.03999185562133789,600,677
vit_base_patch16_224,imagenet,fp32,7271,0.9080803394317627,0.0049796998500823975,0.9031006395816803,162,215
vit_base_patch16_224,imagenet,fp32,21358,0.6939747333526611,0.008070793934166431,0.6859039394184947,492,516
vit_base_patch16_224,imagenet,fp32,24914,0.6129724383354187,0.2557900846004486,0.3571823537349701,577,494
vit_base_patch16_224,imagenet,fp32,12150,0.8721329569816589,0.041416436433792114,0.8307165205478668,277,278
vit_base_patch16_224,imagenet,fp32,34016,0.13710960745811462,0.12291467934846878,0.014194928109645844,794,489
vit_base_patch16_224,imagenet,fp32,31942,0.8886451125144958,0.0010597128421068192,0.887585399672389,746,462
vit_base_patch16_224,imagenet,fp32,25202,0.3964453637599945,0.10446413606405258,0.2919812276959419,584,767
vit_base_patch16_224,imagenet,fp32,29609,0.7931756377220154,0.10469987988471985,0.6884757578372955,690,345
vit_base_patch16_224,imagenet,fp32,25382,0.8849757313728333,0.014448994770646095,0.8705267366021872,588,790
vit_base_patch16_224,imagenet,fp32,18861,0.8257225751876831,0.06189574673771858,0.7638268284499645,431,516
vit_base_patch16_224,imagenet,fp32,28001,0.5977317094802856,0.1433946043252945,0.45433710515499115,651,859
vit_base_patch16_224,imagenet,fp32,21636,0.7853327989578247,0.010044420138001442,0.7752883788198233,499,924
vit_base_patch16_224,imagenet,fp32,20762,0.9027149677276611,0.00039650878170505166,0.9023184589459561,476,169
vit_base_patch16_224,imagenet,fp32,15680,0.9617616534233093,0.006347338669002056,0.9554143147543073,357,356
vit_base_patch16_224,imagenet,fp32,22945,0.9073753356933594,0.001631653169170022,0.9057436825241894,532,495
vit_base_patch16_224,imagenet,fp32,4340,0.8834527134895325,0.0007428601966239512,0.8827098532929085,98,97
vit_base_patch16_224,imagenet,fp32,11889,0.771808385848999,0.024784071370959282,0.7470243144780397,271,274
vit_base_patch16_224,imagenet,fp32,39153,0.9070807099342346,0.007374671753495932,0.8997060381807387,920,919
vit_base_patch16_224,imagenet,fp32,39918,0.8216952681541443,0.006362868007272482,0.8153324001468718,938,549
vit_base_patch16_224,imagenet,fp32,35742,0.48178017139434814,0.3955814838409424,0.08619868755340576,836,837
vit_base_patch16_224,imagenet,fp32,2867,0.882671594619751,0.0016026730882003903,0.8810689215315506,65,58
vit_base_patch16_224,imagenet,fp32,18276,0.8587504625320435,0.014621530659496784,0.8441289318725467,418,563
vit_base_patch16_224,imagenet,fp32,29710,0.8735254406929016,0.008772922679781914,0.8647525180131197,693,472
vit_base_patch16_224,imagenet,fp32,4172,0.866563618183136,0.0009307031868956983,0.8656329149962403,94,95
vit_base_patch16_224,imagenet,fp32,6100,0.853841245174408,0.001250184723176062,0.8525910604512319,137,136
vit_base_patch16_224,imagenet,fp32,25146,0.8368869423866272,0.03877904638648033,0.7981078960001469,582,509
vit_base_patch16_224,imagenet,fp32,5610,0.8693819046020508,0.0018146043876186013,0.8675673002144322,126,121
vit_base_patch16_224,imagenet,fp32,18133,0.8365482687950134,0.015977226197719574,0.8205710425972939,414,465
vit_base_patch16_224,imagenet,fp32,29623,0.8143295049667358,0.09401195496320724,0.7203175500035286,690,345
vit_base_patch16_224,imagenet,fp32,42417,0.8185434937477112,0.022447478026151657,0.7960960157215595,996,760
vit_base_patch16_224,imagenet,fp32,25686,0.8664401173591614,0.0330827534198761,0.8333573639392853,595,856
vit_base_patch16_224,imagenet,fp32,5531,0.8942398428916931,0.002584172645583749,0.8916556702461094,125,119
vit_base_patch16_224,imagenet,fp32,14861,0.8497070670127869,0.0021733243484050035,0.8475337426643819,338,333
vit_base_patch16_224,imagenet,fp32,35411,0.7570592164993286,0.029378274455666542,0.7276809420436621,828,962
vit_base_patch16_224,imagenet,fp32,7924,0.9015094041824341,0.0023905313573777676,0.8991188728250563,178,246
vit_base_patch16_224,imagenet,fp32,26961,0.8499099016189575,0.005477005150169134,0.8444328964687884,625,408
vit_base_patch16_224,imagenet,fp32,31062,0.7820237278938293,0.036873362958431244,0.7451503649353981,724,780
vit_base_patch16_224,imagenet,fp32,25181,0.9005694389343262,0.0007500991923734546,0.8998193397419527,583,399
vit_base_patch16_224,imagenet,fp32,1593,0.8878465890884399,0.012098405510187149,0.8757481835782528,34,33
vit_base_patch16_224,imagenet,fp32,32356,0.870492160320282,0.008418604731559753,0.8620735555887222,755,754
vit_base_patch16_224,imagenet,fp32,30313,0.8304927349090576,0.024309460073709488,0.8061832748353481,707,882
vit_base_patch16_224,imagenet,fp32,37100,0.8892039656639099,0.0023518679663538933,0.886852097697556,870,621
vit_base_patch16_224,imagenet,fp32,3030,0.9072121381759644,0.0015733891632407904,0.9056387490127236,69,126
vit_base_patch16_224,imagenet,fp32,39023,0.5321251153945923,0.1946118175983429,0.3375132977962494,917,697
vit_base_patch16_224,imagenet,fp32,11997,0.8859645128250122,0.0011085285805165768,0.8848559842444956,274,271
vit_base_patch16_224,imagenet,fp32,25611,0.8668695092201233,0.0008221769821830094,0.8660473322379403,593,110
vit_base_patch16_224,imagenet,fp32,33587,0.8706129193305969,0.004760788753628731,0.8658521305769682,785,515
vit_base_patch16_224,imagenet,fp32,35475,0.8211159706115723,0.013326482847332954,0.8077894877642393,829,874
vit_base_patch16_224,imagenet,fp32,12918,0.7453127503395081,0.10542421042919159,0.6398885399103165,295,297
vit_base_patch16_224,imagenet,fp32,19207,0.9097930192947388,0.00713166780769825,0.9026613514870405,440,441
vit_base_patch16_224,imagenet,fp32,38024,0.804376482963562,0.07615156471729279,0.7282249182462692,892,409
vit_base_patch16_224,imagenet,fp32,28644,0.5089815258979797,0.25814834237098694,0.2508331835269928,667,400
vit_base_patch16_224,imagenet,fp32,15597,0.837637186050415,0.011922426521778107,0.8257147595286369,355,354
vit_base_patch16_224,imagenet,fp32,15960,0.8546537756919861,0.0010235613444820046,0.8536302143475041,363,342
vit_base_patch16_224,imagenet,fp32,29721,0.8993399739265442,0.007963660173118114,0.8913763137534261,693,472
vit_base_patch16_224,imagenet,fp32,9554,0.9052686095237732,0.005722419824451208,0.899546189699322,216,220
vit_base_patch16_224,imagenet,fp32,36031,0.6991727948188782,0.00987926870584488,0.6892935261130333,844,783
vit_base_patch16_224,imagenet,fp32,42232,0.7375983595848083,0.10902202874422073,0.6285763308405876,992,947
vit_base_patch16_224,imagenet,fp32,9604,0.4359090328216553,0.2567686140537262,0.17914041876792908,217,8
vit_base_patch16_224,imagenet,fp32,13065,0.7384021878242493,0.09846588224172592,0.6399363055825233,299,298
vit_base_patch16_224,imagenet,fp32,38951,0.8962252140045166,0.0010702606523409486,0.8951549533521757,916,922
