model,dataset,precision,image,ground_truth,pred,top1_prob,top2_prob,top_diff
vit_base_patch16_224,imagenet,fp32,0,0,0,0.572015106678009,0.031245620921254158,0.5407694857567549
vit_base_patch16_224,imagenet,fp32,1,0,0,0.8553014993667603,0.022837335243821144,0.8324641641229391
vit_base_patch16_224,imagenet,fp32,2,0,0,0.8881186842918396,0.014250162988901138,0.8738685213029385
vit_base_patch16_224,imagenet,fp32,3,0,0,0.9103400707244873,0.0008114413940347731,0.9095286293304525
vit_base_patch16_224,imagenet,fp32,4,0,0,0.8437296152114868,0.0008712312555871904,0.8428583839558996
vit_base_patch16_224,imagenet,fp32,5,0,0,0.8753518462181091,0.009172413498163223,0.8661794327199459
vit_base_patch16_224,imagenet,fp32,6,0,0,0.8819165825843811,0.0016330843791365623,0.8802834982052445
vit_base_patch16_224,imagenet,fp32,7,0,0,0.8295857906341553,0.020461516454815865,0.8091242741793394
vit_base_patch16_224,imagenet,fp32,8,0,0,0.874393880367279,0.014969954267144203,0.8594239261001348
vit_base_patch16_224,imagenet,fp32,9,0,0,0.8786941170692444,0.006641082465648651,0.8720530346035957
vit_base_patch16_224,imagenet,fp32,10,0,133,0.8623610138893127,0.002696302253752947,0.8596647116355598
vit_base_patch16_224,imagenet,fp32,11,0,0,0.8344100713729858,0.0033075865358114243,0.8311024848371744
vit_base_patch16_224,imagenet,fp32,12,0,0,0.8936483263969421,0.001200199592858553,0.8924481268040836
vit_base_patch16_224,imagenet,fp32,13,0,0,0.8946220278739929,0.0016434339340776205,0.8929785939399153
vit_base_patch16_224,imagenet,fp32,14,0,0,0.8128904104232788,0.033242177218198776,0.77964823320508
vit_base_patch16_224,imagenet,fp32,15,0,0,0.8746663928031921,0.001114660408347845,0.8735517323948443
vit_base_patch16_224,imagenet,fp32,16,0,0,0.8448201417922974,0.0011622847523540258,0.8436578570399433
vit_base_patch16_224,imagenet,fp32,17,0,0,0.8500829339027405,0.0007498865015804768,0.84933304740116
vit_base_patch16_224,imagenet,fp32,18,0,0,0.870628833770752,0.0011118368711322546,0.8695169968996197
vit_base_patch16_224,imagenet,fp32,19,0,0,0.9029518961906433,0.0010324150789529085,0.9019194811116904
vit_base_patch16_224,imagenet,fp32,20,0,0,0.8883187174797058,0.006917355582118034,0.8814013618975878
vit_base_patch16_224,imagenet,fp32,21,0,0,0.8683885335922241,0.00494459317997098,0.8634439404122531
vit_base_patch16_224,imagenet,fp32,22,0,0,0.886778712272644,0.0010389608796685934,0.8857397513929754
vit_base_patch16_224,imagenet,fp32,23,0,0,0.8848464488983154,0.003713787067681551,0.8811326618306339
vit_base_patch16_224,imagenet,fp32,24,0,0,0.8856272101402283,0.0008935488294810057,0.8847336613107473
vit_base_patch16_224,imagenet,fp32,25,0,0,0.6695498824119568,0.10234029591083527,0.5672095865011215
vit_base_patch16_224,imagenet,fp32,26,0,0,0.9026051163673401,0.0012949749361723661,0.9013101414311677
vit_base_patch16_224,imagenet,fp32,27,0,0,0.817040205001831,0.016016988083720207,0.8010232169181108
vit_base_patch16_224,imagenet,fp32,28,0,0,0.8985840082168579,0.0010284670861437917,0.8975555411307141
vit_base_patch16_224,imagenet,fp32,29,0,0,0.8424680233001709,0.00264155026525259,0.8398264730349183
vit_base_patch16_224,imagenet,fp32,30,0,0,0.855611264705658,0.0008091919589787722,0.8548020727466792
vit_base_patch16_224,imagenet,fp32,31,0,0,0.897291898727417,0.0017667191568762064,0.8955251795705408
